일시,행정구역,한파특보(O/X)
20240101,경기남부,X
20240101,경기동부,X
20240101,경기북서부,X
20240101,경기중부,X
20240101,서울,X
20240101,인천,X
20240102,경기남부,X
20240102,경기동부,X
20240102,경기북서부,X
20240102,경기중부,X
20240102,서울,X
20240102,인천,X
20240103,경기남부,X
20240103,경기동부,X
20240103,경기북서부,X
20240103,경기중부,X
20240103,서울,X
20240103,인천,X
20240104,경기남부,X
20240104,경기동부,X
20240104,경기북서부,X
20240104,경기중부,X
20240104,서울,X
20240104,인천,X
20240105,경기남부,X
20240105,경기동부,X
20240105,경기북서부,X
20240105,경기중부,X
20240105,서울,X
20240105,인천,X
20240106,경기남부,X
20240106,경기동부,X
20240106,경기북서부,X
20240106,경기중부,X
20240106,서울,X
20240106,인천,X
20240107,경기남부,X
20240107,경기동부,X
20240107,경기북서부,X
20240107,경기중부,X
20240107,서울,X
20240107,인천,X
20240108,경기남부,X
20240108,경기동부,X
20240108,경기북서부,X
20240108,경기중부,X
20240108,서울,X
20240108,인천,X
20240109,경기남부,X
20240109,경기동부,X
20240109,경기북서부,X
20240109,경기중부,X
20240109,서울,X
20240109,인천,X
20240110,경기남부,X
20240110,경기동부,X
20240110,경기북서부,X
20240110,경기중부,X
20240110,서울,X
20240110,인천,X
20240111,경기남부,X
20240111,경기동부,X
20240111,경기북서부,X
20240111,경기중부,X
20240111,서울,X
20240111,인천,X
20240112,경기남부,X
20240112,경기동부,X
20240112,경기북서부,X
20240112,경기중부,X
20240112,서울,X
20240112,인천,X
20240113,경기남부,X
20240113,경기동부,X
20240113,경기북서부,X
20240113,경기중부,X
20240113,서울,X
20240113,인천,X
20240114,경기남부,X
20240114,경기동부,X
20240114,경기북서부,X
20240114,경기중부,X
20240114,서울,X
20240114,인천,X
20240115,경기남부,X
20240115,경기동부,X
20240115,경기북서부,X
20240115,경기중부,X
20240115,서울,X
20240115,인천,X
20240116,경기남부,X
20240116,경기동부,X
20240116,경기북서부,X
20240116,경기중부,X
20240116,서울,X
20240116,인천,X
20240117,경기남부,X
20240117,경기동부,X
20240117,경기북서부,X
20240117,경기중부,X
20240117,서울,X
20240117,인천,X
20240118,경기남부,X
20240118,경기동부,X
20240118,경기북서부,X
20240118,경기중부,X
20240118,서울,X
20240118,인천,X
20240119,경기남부,X
20240119,경기동부,X
20240119,경기북서부,X
20240119,경기중부,X
20240119,서울,X
20240119,인천,X
20240120,경기남부,X
20240120,경기동부,X
20240120,경기북서부,X
20240120,경기중부,X
20240120,서울,X
20240120,인천,X
20240121,경기남부,주의보
20240121,경기동부,주의보
20240121,경기북서부,주의보
20240121,경기중부,주의보
20240121,서울,주의보
20240121,인천,주의보
20240122,경기남부,주의보
20240122,경기동부,주의보
20240122,경기북서부,주의보
20240122,경기중부,주의보
20240122,서울,주의보
20240122,인천,주의보
20240123,경기남부,주의보
20240123,경기동부,주의보
20240123,경기북서부,주의보
20240123,경기중부,주의보
20240123,서울,주의보
20240123,인천,주의보
20240124,경기남부,주의보
20240124,경기동부,주의보
20240124,경기북서부,주의보
20240124,경기중부,주의보
20240124,서울,주의보
20240124,인천,주의보
20240125,경기남부,X
20240125,경기동부,주의보
20240125,경기북서부,주의보
20240125,경기중부,X
20240125,서울,주의보
20240125,인천,X
20240126,경기남부,X
20240126,경기동부,X
20240126,경기북서부,X
20240126,경기중부,X
20240126,서울,X
20240126,인천,X
20240127,경기남부,X
20240127,경기동부,X
20240127,경기북서부,X
20240127,경기중부,X
20240127,서울,X
20240127,인천,X
20240128,경기남부,X
20240128,경기동부,X
20240128,경기북서부,X
20240128,경기중부,X
20240128,서울,X
20240128,인천,X
20240129,경기남부,X
20240129,경기동부,X
20240129,경기북서부,X
20240129,경기중부,X
20240129,서울,X
20240129,인천,X
20240130,경기남부,X
20240130,경기동부,X
20240130,경기북서부,X
20240130,경기중부,X
20240130,서울,X
20240130,인천,X
20240131,경기남부,X
20240131,경기동부,X
20240131,경기북서부,X
20240131,경기중부,X
20240131,서울,X
20240131,인천,X
20240201,경기남부,X
20240201,경기동부,X
20240201,경기북서부,X
20240201,경기중부,X
20240201,서울,X
20240201,인천,X
20240202,경기남부,X
20240202,경기동부,X
20240202,경기북서부,X
20240202,경기중부,X
20240202,서울,X
20240202,인천,X
20240203,경기남부,X
20240203,경기동부,X
20240203,경기북서부,X
20240203,경기중부,X
20240203,서울,X
20240203,인천,X
20240204,경기남부,X
20240204,경기동부,X
20240204,경기북서부,X
20240204,경기중부,X
20240204,서울,X
20240204,인천,X
20240205,경기남부,X
20240205,경기동부,X
20240205,경기북서부,X
20240205,경기중부,X
20240205,서울,X
20240205,인천,X
20240206,경기남부,X
20240206,경기동부,X
20240206,경기북서부,X
20240206,경기중부,X
20240206,서울,X
20240206,인천,X
20240207,경기남부,X
20240207,경기동부,X
20240207,경기북서부,X
20240207,경기중부,X
20240207,서울,X
20240207,인천,X
20240208,경기남부,X
20240208,경기동부,X
20240208,경기북서부,X
20240208,경기중부,X
20240208,서울,X
20240208,인천,X
20240209,경기남부,X
20240209,경기동부,X
20240209,경기북서부,X
20240209,경기중부,X
20240209,서울,X
20240209,인천,X
20240210,경기남부,X
20240210,경기동부,X
20240210,경기북서부,X
20240210,경기중부,X
20240210,서울,X
20240210,인천,X
20240211,경기남부,X
20240211,경기동부,X
20240211,경기북서부,X
20240211,경기중부,X
20240211,서울,X
20240211,인천,X
20240212,경기남부,X
20240212,경기동부,X
20240212,경기북서부,X
20240212,경기중부,X
20240212,서울,X
20240212,인천,X
20240213,경기남부,X
20240213,경기동부,X
20240213,경기북서부,X
20240213,경기중부,X
20240213,서울,X
20240213,인천,X
20240214,경기남부,X
20240214,경기동부,X
20240214,경기북서부,X
20240214,경기중부,X
20240214,서울,X
20240214,인천,X
20240215,경기남부,X
20240215,경기동부,X
20240215,경기북서부,X
20240215,경기중부,X
20240215,서울,X
20240215,인천,X
20240216,경기남부,X
20240216,경기동부,X
20240216,경기북서부,X
20240216,경기중부,X
20240216,서울,X
20240216,인천,X
20240217,경기남부,X
20240217,경기동부,X
20240217,경기북서부,X
20240217,경기중부,X
20240217,서울,X
20240217,인천,X
20240218,경기남부,X
20240218,경기동부,X
20240218,경기북서부,X
20240218,경기중부,X
20240218,서울,X
20240218,인천,X
20240219,경기남부,X
20240219,경기동부,X
20240219,경기북서부,X
20240219,경기중부,X
20240219,서울,X
20240219,인천,X
20240220,경기남부,X
20240220,경기동부,X
20240220,경기북서부,X
20240220,경기중부,X
20240220,서울,X
20240220,인천,X
20240221,경기남부,X
20240221,경기동부,X
20240221,경기북서부,X
20240221,경기중부,X
20240221,서울,X
20240221,인천,X
20240222,경기남부,X
20240222,경기동부,X
20240222,경기북서부,X
20240222,경기중부,X
20240222,서울,X
20240222,인천,X
20240223,경기남부,X
20240223,경기동부,X
20240223,경기북서부,X
20240223,경기중부,X
20240223,서울,X
20240223,인천,X
