,사용일자,승차총승객수,하차총승객수
325,20240220,7583722,7555340
326,20240221,7408723,7378657
327,20240222,7740959,7713076
328,20240223,8022711,7994273
329,20240224,5991950,5962993
330,20240225,4369873,4344094
331,20240226,7500814,7472253
332,20240227,7661825,7631049
333,20240228,7756510,7726933
334,20240229,7893188,7862402
335,20240301,4965254,4931860
336,20240302,5105839,5077294
337,20240303,4123898,4095511
338,20240304,7579781,7551761
339,20240305,7755232,7726396
340,20240306,7906721,7878009
341,20240307,7956440,7929671
342,20240308,8206611,8179094
343,20240309,5967793,5935061
344,20240310,4452172,4420766
345,20240311,7713380,7683406
346,20240312,7800643,7771859
347,20240313,8025394,7997075
348,20240314,8109631,8083188
349,20240315,8259677,8230192
350,20240316,6248230,6216065
351,20240317,4588734,4555520
352,20240318,7799598,7770025
353,20240319,7876989,7848494
354,20240320,7979331,7950950
355,20240321,8151518,8124663
356,20240322,8174290,8146432
357,20240323,6179390,6148653
358,20240324,4652598,4620617
359,20240325,7691293,7661310
360,20240326,7896149,7866023
361,20240327,8165615,8135686
362,20240328,8515996,8484659
363,20240329,8214946,8185347
364,20240330,6199444,6164553
365,20240331,4694317,4659946
