,사용일자,폭염여부,황사관측,미세먼지,초미세먼지,한파특보,평균이용승객수,강수량,적설,행정구역_경기남부,행정구역_경기동부,행정구역_경기북서부,행정구역_경기중부,행정구역_서울,행정구역_인천,요일,평일,주말
164,2023-04-28,0.0,0.0,0.0,0.0,0.0,-0.9801346843130756,0.0015092103145817,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,1,0
165,2023-04-28,0.0,0.0,0.0,0.0,0.0,0.9757372209527608,0.0380052376044868,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,1,0
167,2023-04-28,0.0,0.0,0.0,0.0,0.0,0.2367629768870974,0.0070092925300488,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,1,0
168,2023-04-29,0.0,0.0,0.0,0.0,0.0,0.5645566029628417,0.2903133847620401,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5,0,1
169,2023-04-29,0.0,0.0,0.0,0.0,0.0,-0.3665015667890204,0.2328400389190598,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5,0,1
170,2023-04-29,0.0,0.0,0.0,0.0,0.0,-1.5657016444847285,0.1401051820288424,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,0,1
171,2023-04-29,0.0,0.0,0.0,0.0,0.0,0.2882701974362777,0.1734546351691848,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,0,1
172,2023-04-29,0.0,0.0,0.0,0.0,0.0,-0.2892914263401212,0.1793824730367207,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,0,1
175,2023-04-30,0.0,0.0,0.0,0.0,0.0,0.3445907613051034,0.0030144646342876,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6,0,1
177,2023-04-30,0.0,0.0,0.0,0.0,0.0,-0.4625815172523254,0.0,0.0010412351896505,0.0,0.0,1.0,0.0,0.0,0.0,6,0,1
179,2023-04-30,0.0,0.0,0.0,0.0,0.0,-1.5430330344913212,0.0075066976665316,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6,0,1
203,2023-05-04,0.0,0.0,0.0,0.0,0.0,0.2341623151312257,0.102174720351476,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1,0
205,2023-05-05,0.0,0.0,0.0,0.0,0.0,0.1050885261453076,0.5127288754827829,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4,1,0
206,2023-05-05,0.0,0.0,0.0,0.0,0.0,-0.8449682887420448,0.7614366710714818,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4,1,0
207,2023-05-05,0.0,0.0,0.0,0.0,0.0,-0.6705111414483201,0.4667983921042377,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,1,0
208,2023-05-05,0.0,0.0,0.0,0.0,0.0,-0.2115278023711865,0.2287959785849146,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,1,0
