,Unnamed: 0,사용일자,승차총승객수,하차총승객수,총승객수
235,235,20231122,7813732,7788659,15602391
236,236,20231123,7851769,7829217,15680986
237,237,20231124,8009933,7984431,15994364
238,238,20231125,5796865,5765688,11562553
239,239,20231126,4288122,4257235,8545357
240,240,20231127,7405881,7379793,14785674
241,241,20231128,7732470,7706571,15439041
242,242,20231129,7736164,7708544,15444708
243,243,20231130,7602073,7576609,15178682
244,244,20231201,7918800,7891791,15810591
245,245,20231202,5793213,5767460,11560673
246,246,20231203,4239529,4212769,8452298
247,247,20231204,7493451,7465770,14959221
248,248,20231205,7716061,7690270,15406331
249,249,20231206,7629951,7604858,15234809
250,250,20231207,7818448,7794122,15612570
251,251,20231208,8055702,8030766,16086468
252,252,20231209,6015540,5989253,12004793
253,253,20231210,4312839,4285993,8598832
254,254,20231211,7269378,7243703,14513081
255,255,20231212,7766546,7740243,15506789
256,256,20231213,7877013,7849573,15726586
257,257,20231214,7753326,7726438,15479764
258,258,20231215,7958940,7933013,15891953
259,259,20231216,6184633,6156735,12341368
260,260,20231217,4086318,4061146,8147464
261,261,20231218,7313689,7279748,14593437
262,262,20231219,7733345,7695033,15428378
263,263,20231220,7861155,7827774,15688929
264,264,20231221,7466271,7431915,14898186
265,265,20231222,7752105,7717339,15469444
266,266,20231223,5607900,5581744,11189644
267,267,20231224,4822969,4800791,9623760
268,268,20231225,4567563,4547072,9114635
269,269,20231226,7350361,7321638,14671999
270,270,20231227,7600550,7572253,15172803
271,271,20231228,7512190,7481402,14993592
272,272,20231229,7556765,7525834,15082599
273,273,20231230,5277472,5251515,10528987
274,274,20231231,4190099,4172508,8362607
275,275,20240101,3116300,3096390,6212690
276,276,20240102,7011260,6983855,13995115
277,277,20240103,7248497,7219283,14467780
278,278,20240104,7386609,7357023,14743632
279,279,20240105,7658809,7629359,15288168
280,280,20240106,5416596,5390564,10807160
281,281,20240107,3875184,3854267,7729451
282,282,20240108,7032183,7004394,14036577
283,283,20240109,7377227,7349578,14726805
284,284,20240110,7477144,7448836,14925980
285,285,20240111,7465530,7436834,14902364
286,286,20240112,7747072,7717747,15464819
287,287,20240113,5618049,5592514,11210563
288,288,20240114,3787246,3765984,7553230
289,289,20240115,7151147,7124554,14275701
290,290,20240116,7347541,7319094,14666635
291,291,20240117,7398860,7371050,14769910
292,292,20240118,7490472,7458942,14949414
293,293,20240119,7793118,7759553,15552671
294,294,20240120,5532530,5502510,11035040
295,295,20240121,3985204,3962828,7948032
296,296,20240122,6953814,6929231,13883045
297,297,20240123,6759278,6734447,13493725
298,298,20240124,7035172,7008846,14044018
299,299,20240125,7285391,7257771,14543162
300,300,20240126,7674974,7647737,15322711
301,301,20240127,5575929,5549219,11125148
302,302,20240128,4061199,4036181,8097380
303,303,20240129,7233840,7203604,14437444
304,304,20240130,7406381,7375574,14781955
305,305,20240131,7452768,7421640,14874408
306,306,20240201,7466643,7435293,14901936
307,307,20240202,7740615,7710472,15451087
308,308,20240203,5407106,5380915,10788021
309,309,20240204,4134197,4110614,8244811
310,310,20240205,7201692,7171113,14372805
311,311,20240206,7475378,7449385,14924763
312,312,20240207,7470222,7442003,14912225
313,313,20240208,7192652,7159403,14352055
314,314,20240209,3168305,3141713,6310018
315,315,20240210,2596541,2582891,5179432
316,316,20240211,3455305,3436301,6891606
317,317,20240212,3727423,3706027,7433450
318,318,20240213,7062047,7032013,14094060
319,319,20240214,7639079,7609197,15248276
320,320,20240215,7389986,7360557,14750543
321,321,20240216,7999614,7969488,15969102
322,322,20240217,5986131,5957932,11944063
323,323,20240218,4219963,4193162,8413125
324,324,20240219,7174329,7147581,14321910
325,325,20240220,7583722,7555340,15139062
326,326,20240221,7408723,7378657,14787380
327,327,20240222,7740959,7713076,15454035
328,328,20240223,8022711,7994273,16016984
329,329,20240224,5991950,5962993,11954943
330,330,20240225,4369873,4344094,8713967
331,331,20240226,7500814,7472253,14973067
332,332,20240227,7661825,7631049,15292874
333,333,20240228,7756510,7726933,15483443
334,334,20240229,7893188,7862402,15755590
335,335,20240301,4965254,4931860,9897114
336,336,20240302,5105839,5077294,10183133
337,337,20240303,4123898,4095511,8219409
338,338,20240304,7579781,7551761,15131542
339,339,20240305,7755232,7726396,15481628
340,340,20240306,7906721,7878009,15784730
341,341,20240307,7956440,7929671,15886111
342,342,20240308,8206611,8179094,16385705
343,343,20240309,5967793,5935061,11902854
344,344,20240310,4452172,4420766,8872938
345,345,20240311,7713380,7683406,15396786
346,346,20240312,7800643,7771859,15572502
347,347,20240313,8025394,7997075,16022469
348,348,20240314,8109631,8083188,16192819
349,349,20240315,8259677,8230192,16489869
350,350,20240316,6248230,6216065,12464295
351,351,20240317,4588734,4555520,9144254
352,352,20240318,7799598,7770025,15569623
353,353,20240319,7876989,7848494,15725483
354,354,20240320,7979331,7950950,15930281
355,355,20240321,8151518,8124663,16276181
356,356,20240322,8174290,8146432,16320722
357,357,20240323,6179390,6148653,12328043
358,358,20240324,4652598,4620617,9273215
359,359,20240325,7691293,7661310,15352603
360,360,20240326,7896149,7866023,15762172
361,361,20240327,8165615,8135686,16301301
362,362,20240328,8515996,8484659,17000655
363,363,20240329,8214946,8185347,16400293
364,364,20240330,6199444,6164553,12363997
365,365,20240331,4694317,4659946,9354263
