,사용일자,폭염여부,황사관측,미세먼지,초미세먼지,한파특보,평균이용승객수,강수량,적설,행정구역_경기남부,행정구역_경기동부,행정구역_경기북서부,행정구역_경기중부,행정구역_서울,행정구역_인천,요일,평일,주말
56,2023-04-10,0.0,0.0,0.0,0.0,0.0,-1.081030526104751,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0
57,2023-04-10,0.0,0.0,0.0,0.0,0.0,0.7889515613175786,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0
58,2023-04-10,0.0,0.0,0.0,0.0,0.0,0.1087700576889827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0
59,2023-04-10,0.0,0.0,0.0,0.0,0.0,-0.0520390898889305,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0
60,2023-04-11,0.0,1.0,0.0,0.0,1.0,0.0665892640465075,0.1632082082908397,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0
61,2023-04-11,0.0,1.0,1.0,1.0,0.0,1.02218835300616,0.0844760609263919,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0
62,2023-04-11,0.0,1.0,1.0,1.0,0.0,0.0066301631300917,0.0245272800368451,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0
63,2023-04-11,0.0,1.0,0.0,0.0,0.0,0.7318643424890573,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0
64,2023-04-11,0.0,1.0,0.0,0.0,0.0,-0.1343749953149478,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
65,2023-04-11,0.0,1.0,0.0,0.0,0.0,-1.2257595071669,0.0609341322397344,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0
66,2023-04-12,0.0,1.0,2.0,2.0,0.0,0.118887572467583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1,0
67,2023-04-12,0.0,1.0,0.0,0.0,1.0,0.1693228552181736,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,1,0
68,2023-04-12,0.0,1.0,2.0,2.0,0.0,-0.0521898074989681,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1,0
69,2023-04-12,0.0,1.0,2.0,2.0,0.0,0.8105681902514208,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,1,0
70,2023-04-12,0.0,1.0,2.0,2.0,0.0,1.1051124250647957,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,1,0
71,2023-04-12,0.0,1.0,2.0,2.0,0.0,-1.125738976109114,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,1,0
72,2023-04-13,0.0,0.0,2.0,2.0,0.0,1.0992481453198495,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,1,0
73,2023-04-13,0.0,0.0,2.0,2.0,0.0,-0.0381843991642881,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,1,0
74,2023-04-13,0.0,0.0,2.0,2.0,0.0,0.8197455370228984,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,1,0
75,2023-04-13,0.0,0.0,0.0,0.0,0.0,0.1719545844371314,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,1,0
76,2023-04-13,0.0,0.0,2.0,2.0,0.0,0.1134402617627615,0.0072588795116952,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1,0
77,2023-04-13,0.0,0.0,2.0,2.0,0.0,-1.105214635100557,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1,0
78,2023-04-14,0.0,1.0,1.0,1.0,0.0,1.1250215739192442,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4,1,0
79,2023-04-14,0.0,1.0,0.0,0.0,0.0,0.1863238871874675,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4,1,0
80,2023-04-14,0.0,1.0,2.0,2.0,0.0,0.8722653708306528,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,1,0
